	GSM461182_untreat_single_featureCounts	GSM461178_untreat_paired_featureCounts	GSM461177_untreat_paired_featureCounts	GSM461176_untreat_single_featureCounts	GSM461181_treat_paired_featureCounts	GSM461180_treat_paired_featureCounts	GSM461179_treat_single_featureCounts
FBgn0264717	0.83333666887686	0	0	1.00192517906965	0	1.49420621455475	0.524432254862352
FBgn0036888	1666.67333775372	1621.42243284486	1616.22893934913	1558.99557863238	1667.54052104881	1609.26009307546	1502.49841018064
FBgn0036319	10.0000400265223	10.6372605716158	4.6666860616433	11.522139559301	9.85252892791027	7.47103107277373	12.0619418618341
FBgn0036805	745.002981975913	828.186715932941	802.670002602647	733.409231078985	734.013405129315	702.27692084073	696.446034457203
FBgn0052272	0	0	0	0	0	0	0.524432254862352
FBgn0036118	73.3336268611637	77.5000413074862	56.0002327397196	97.687704959291	72.6624008433383	70.227692084073	89.1534833265998
FBgn0265959	0	0	0	0.500962589534826	1.23156611598878	0	2.62216127431176
FBgn0052022	270.834417384979	256.813862371866	174.22294630135	238.458192618577	290.649603373353	280.910768336292	303.121843310439
FBgn0003388	4.1666833443843	6.07843461235186	9.3333721232866	8.51636402209203	8.62096281192149	2.98841242910949	10.488645097247
FBgn0036618	0	0	0	0	0	0	0.524432254862352
FBgn0052072	0.83333666887686	0	1.55556202054777	2.50481294767413	1.23156611598878	1.49420621455475	1.57329676458705
FBgn0052081	0	0	0	0	0	0	1.0488645097247
FBgn0037015	0.83333666887686	3.03921730617593	3.11112404109553	2.50481294767413	2.46313223197757	1.49420621455475	4.19545803889881
FBti0063970	0	0	0	0	0	0	0
FBgn0053057	0	0	0	0	0	0	0.524432254862352
FBgn0046301	215.00086057023	244.656993147162	233.334303082165	197.880222866256	219.218768646004	209.188870037664	215.017224493564
FBgn0036271	581.668994876048	486.274768988149	430.890679691731	389.247932068559	528.341863759188	515.501144021387	497.686209864372
FBgn0287590	0	0	0	0	0	0	0
FBgn0267644	7.50003001989174	53.1863028580788	68.4447289041017	99.6915553174303	40.6416818276299	44.8261864366424	82.8602962682516
FBgn0035168	15.0000600397835	25.8333471024954	32.6668024315031	29.0558301930199	34.483851247686	20.9188870037664	25.1727482333929
FBgn0267667	3.33334667550744	4.5588259592639	3.11112404109553	3.50673812674378	7.3893966959327	4.48261864366424	7.34205156807292
FBgn0036096	963.33718922165	964.951494710858	889.781475753322	898.225923035942	1135.50395894166	1087.78212419585	941.355897477921
FBgn0035703	182.500730484032	150.441256655709	163.334012157515	140.269525069751	121.92504548289	150.914827670029	167.818321555953
FBgn0036716	0.83333666887686	0	0	4.0077007162786	1.23156611598878	0	2.09772901944941
FBgn0035282	1.66667333775372	1.51960865308797	3.11112404109553	2.0038503581393	2.46313223197757	2.98841242910949	3.67102578403646
FBgn0036346	0	0	0	0	0	0	0
FBti0059885	0	0	0	0	0	0	0
FBti0062030	0	0	0	0	0	0	0
FBti0060702	0	1.51960865308797	0	1.00192517906965	0	1.49420621455475	0
FBgn0036811	168.334007113126	174.754995105116	143.111705890394	137.764712122077	198.282144674194	168.845302244686	193.515502044208
FBti0020021	31.6667934173207	66.8627807358705	37.3334884931464	29.0558301930199	20.9366239718093	115.053878520715	67.6517608772434
FBgn0052383	0.83333666887686	3.03921730617593	3.11112404109553	3.00577553720895	0	1.49420621455475	3.14659352917411
FBti0062668	0	0	0	0.500962589534826	0	0	1.57329676458705
FBgn0036591	0	0	0	0.500962589534826	0	0	0.524432254862352
